game_id,season,week,game_type,team,opponent,team_score,opp_score,win,tie,giveaways,off_third_down_pct,takeaways,opp_third_down_pct,turnover_margin
2023_01_DET_KC,2023,1,REG,KC,DET,20.0,21.0,0,0,1.0,0.35714285714285715,1.0,0.3333333333333333,0.0
2023_01_CAR_ATL,2023,1,REG,ATL,CAR,24.0,10.0,1,0,0.0,0.2,3.0,0.35714285714285715,3.0
2023_01_HOU_BAL,2023,1,REG,BAL,HOU,25.0,9.0,1,0,2.0,0.5333333333333333,1.0,0.3888888888888889,-1.0
2023_01_CIN_CLE,2023,1,REG,CLE,CIN,24.0,3.0,1,0,2.0,0.2857142857142857,0.0,0.13333333333333333,-2.0
2023_01_JAX_IND,2023,1,REG,IND,JAX,21.0,31.0,0,0,3.0,0.16666666666666666,2.0,0.25,-1.0
2023_01_TB_MIN,2023,1,REG,MIN,TB,17.0,20.0,0,0,3.0,0.42857142857142855,0.0,0.35294117647058826,-3.0
2023_01_TEN_NO,2023,1,REG,NO,TEN,16.0,15.0,1,0,2.0,0.4375,3.0,0.16666666666666666,1.0
2023_01_SF_PIT,2023,1,REG,PIT,SF,7.0,30.0,0,0,2.0,0.3333333333333333,1.0,0.46153846153846156,-1.0
2023_01_ARI_WAS,2023,1,REG,WAS,ARI,20.0,16.0,1,0,3.0,0.3333333333333333,2.0,0.2857142857142857,-1.0
2023_01_GB_CHI,2023,1,REG,CHI,GB,20.0,38.0,0,0,2.0,0.23076923076923078,0.0,0.5625,-2.0
2023_01_LV_DEN,2023,1,REG,DEN,LV,16.0,17.0,0,0,0.0,0.45454545454545453,1.0,0.45454545454545453,1.0
2023_01_MIA_LAC,2023,1,REG,LAC,MIA,34.0,36.0,0,0,0.0,0.6,2.0,0.4444444444444444,2.0
2023_01_PHI_NE,2023,1,REG,NE,PHI,20.0,25.0,0,0,2.0,0.3333333333333333,1.0,0.3076923076923077,-1.0
2023_01_LA_SEA,2023,1,REG,SEA,LA,13.0,30.0,0,0,0.0,0.2222222222222222,0.0,0.6470588235294118,0.0
2023_01_DAL_NYG,2023,1,REG,NYG,DAL,0.0,40.0,0,0,3.0,0.3125,0.0,0.46153846153846156,-3.0
2023_01_BUF_NYJ,2023,1,REG,NYJ,BUF,22.0,16.0,1,0,1.0,0.38461538461538464,4.0,0.38461538461538464,3.0
2023_02_MIN_PHI,2023,2,REG,PHI,MIN,34.0,28.0,1,0,2.0,0.42857142857142855,3.0,0.6,1.0
2023_02_GB_ATL,2023,2,REG,ATL,GB,25.0,24.0,1,0,1.0,0.4,0.0,0.3333333333333333,-1.0
2023_02_LV_BUF,2023,2,REG,BUF,LV,38.0,10.0,1,0,0.0,0.5384615384615384,3.0,0.42857142857142855,3.0
2023_02_BAL_CIN,2023,2,REG,CIN,BAL,24.0,27.0,0,0,1.0,0.6666666666666666,0.0,0.6428571428571429,-1.0
2023_02_SEA_DET,2023,2,REG,DET,SEA,31.0,37.0,0,0,3.0,0.5454545454545454,0.0,0.45454545454545453,-3.0
2023_02_IND_HOU,2023,2,REG,HOU,IND,20.0,31.0,0,0,1.0,0.47368421052631576,0.0,0.5,-1.0
2023_02_KC_JAX,2023,2,REG,JAX,KC,9.0,17.0,0,0,2.0,0.25,2.0,0.3076923076923077,0.0
2023_02_CHI_TB,2023,2,REG,TB,CHI,27.0,17.0,1,0,0.0,0.5333333333333333,2.0,0.46153846153846156,2.0
2023_02_LAC_TEN,2023,2,REG,TEN,LAC,27.0,24.0,1,0,0.0,0.46153846153846156,0.0,0.14285714285714285,0.0
2023_02_NYG_ARI,2023,2,REG,ARI,NYG,28.0,31.0,0,0,0.0,0.4,1.0,0.5833333333333334,1.0
2023_02_SF_LA,2023,2,REG,LA,SF,23.0,30.0,0,0,2.0,0.5,0.0,0.2222222222222222,-2.0
2023_02_NYJ_DAL,2023,2,REG,DAL,NYJ,30.0,10.0,1,0,0.0,0.5,4.0,0.1,4.0
2023_02_WAS_DEN,2023,2,REG,DEN,WAS,33.0,35.0,0,0,2.0,0.3333333333333333,0.0,0.3,-2.0
